text,category
journal about my future,PERSONAL_GROWTH
journal about my future today,PERSONAL_GROWTH
journal about my future this evening,PERSONAL_GROWTH
journal about my future before work,PERSONAL_GROWTH
journal about my future after lunch,PERSONAL_GROWTH
journal about my future for 20 minutes,PERSONAL_GROWTH
journal about my future for one hour,PERSONAL_GROWTH
journal about my future this week,PERSONAL_GROWTH
journal about my future tomorrow,PERSONAL_GROWTH
journal about my future in the morning,PERSONAL_GROWTH
practice confidence,PERSONAL_GROWTH
practice confidence today,PERSONAL_GROWTH
practice confidence this evening,PERSONAL_GROWTH
practice confidence before work,PERSONAL_GROWTH
practice confidence after lunch,PERSONAL_GROWTH
practice confidence for 20 minutes,PERSONAL_GROWTH
practice confidence for one hour,PERSONAL_GROWTH
practice confidence this week,PERSONAL_GROWTH
practice confidence tomorrow,PERSONAL_GROWTH
practice confidence in the morning,PERSONAL_GROWTH
work on communication skills,PERSONAL_GROWTH
work on communication skills today,PERSONAL_GROWTH
work on communication skills this evening,PERSONAL_GROWTH
work on communication skills before work,PERSONAL_GROWTH
work on communication skills after lunch,PERSONAL_GROWTH
work on communication skills for 20 minutes,PERSONAL_GROWTH
work on communication skills for one hour,PERSONAL_GROWTH
work on communication skills this week,PERSONAL_GROWTH
work on communication skills tomorrow,PERSONAL_GROWTH
work on communication skills in the morning,PERSONAL_GROWTH
reflect on this month,PERSONAL_GROWTH
reflect on this month today,PERSONAL_GROWTH
reflect on this month this evening,PERSONAL_GROWTH
reflect on this month before work,PERSONAL_GROWTH
reflect on this month after lunch,PERSONAL_GROWTH
reflect on this month for 20 minutes,PERSONAL_GROWTH
reflect on this month for one hour,PERSONAL_GROWTH
reflect on this month this week,PERSONAL_GROWTH
reflect on this month tomorrow,PERSONAL_GROWTH
reflect on this month in the morning,PERSONAL_GROWTH
build discipline,PERSONAL_GROWTH
build discipline today,PERSONAL_GROWTH
build discipline this evening,PERSONAL_GROWTH
build discipline before work,PERSONAL_GROWTH
build discipline after lunch,PERSONAL_GROWTH
build discipline for 20 minutes,PERSONAL_GROWTH
build discipline for one hour,PERSONAL_GROWTH
build discipline this week,PERSONAL_GROWTH
build discipline tomorrow,PERSONAL_GROWTH
build discipline in the morning,PERSONAL_GROWTH
write personal values,PERSONAL_GROWTH
write personal values today,PERSONAL_GROWTH
write personal values this evening,PERSONAL_GROWTH
write personal values before work,PERSONAL_GROWTH
write personal values after lunch,PERSONAL_GROWTH
write personal values for 20 minutes,PERSONAL_GROWTH
write personal values for one hour,PERSONAL_GROWTH
write personal values this week,PERSONAL_GROWTH
write personal values tomorrow,PERSONAL_GROWTH
write personal values in the morning,PERSONAL_GROWTH
review my goals,PERSONAL_GROWTH
review my goals today,PERSONAL_GROWTH
review my goals this evening,PERSONAL_GROWTH
review my goals before work,PERSONAL_GROWTH
review my goals after lunch,PERSONAL_GROWTH
review my goals for 20 minutes,PERSONAL_GROWTH
review my goals for one hour,PERSONAL_GROWTH
review my goals this week,PERSONAL_GROWTH
review my goals tomorrow,PERSONAL_GROWTH
review my goals in the morning,PERSONAL_GROWTH
practice self reflection,PERSONAL_GROWTH
practice self reflection today,PERSONAL_GROWTH
practice self reflection this evening,PERSONAL_GROWTH
practice self reflection before work,PERSONAL_GROWTH
practice self reflection after lunch,PERSONAL_GROWTH
practice self reflection for 20 minutes,PERSONAL_GROWTH
practice self reflection for one hour,PERSONAL_GROWTH
practice self reflection this week,PERSONAL_GROWTH
practice self reflection tomorrow,PERSONAL_GROWTH
practice self reflection in the morning,PERSONAL_GROWTH
learn to speak confidently,PERSONAL_GROWTH
learn to speak confidently today,PERSONAL_GROWTH
learn to speak confidently this evening,PERSONAL_GROWTH
learn to speak confidently before work,PERSONAL_GROWTH
learn to speak confidently after lunch,PERSONAL_GROWTH
learn to speak confidently for 20 minutes,PERSONAL_GROWTH
learn to speak confidently for one hour,PERSONAL_GROWTH
learn to speak confidently this week,PERSONAL_GROWTH
learn to speak confidently tomorrow,PERSONAL_GROWTH
learn to speak confidently in the morning,PERSONAL_GROWTH
work on my identity,PERSONAL_GROWTH
work on my identity today,PERSONAL_GROWTH
work on my identity this evening,PERSONAL_GROWTH
work on my identity before work,PERSONAL_GROWTH
work on my identity after lunch,PERSONAL_GROWTH
work on my identity for 20 minutes,PERSONAL_GROWTH
work on my identity for one hour,PERSONAL_GROWTH
work on my identity this week,PERSONAL_GROWTH
work on my identity tomorrow,PERSONAL_GROWTH
work on my identity in the morning,PERSONAL_GROWTH
call my parents,RELATIONSHIPS
call my parents today,RELATIONSHIPS
call my parents this evening,RELATIONSHIPS
call my parents before work,RELATIONSHIPS
call my parents after lunch,RELATIONSHIPS
call my parents for 20 minutes,RELATIONSHIPS
call my parents for one hour,RELATIONSHIPS
call my parents this week,RELATIONSHIPS
call my parents tomorrow,RELATIONSHIPS
call my parents in the morning,RELATIONSHIPS
meet college friends,RELATIONSHIPS
meet college friends today,RELATIONSHIPS
meet college friends this evening,RELATIONSHIPS
meet college friends before work,RELATIONSHIPS
meet college friends after lunch,RELATIONSHIPS
meet college friends for 20 minutes,RELATIONSHIPS
meet college friends for one hour,RELATIONSHIPS
meet college friends this week,RELATIONSHIPS
meet college friends tomorrow,RELATIONSHIPS
meet college friends in the morning,RELATIONSHIPS
message my friend,RELATIONSHIPS
message my friend today,RELATIONSHIPS
message my friend this evening,RELATIONSHIPS
message my friend before work,RELATIONSHIPS
message my friend after lunch,RELATIONSHIPS
message my friend for 20 minutes,RELATIONSHIPS
message my friend for one hour,RELATIONSHIPS
message my friend this week,RELATIONSHIPS
message my friend tomorrow,RELATIONSHIPS
message my friend in the morning,RELATIONSHIPS
spend time with family,RELATIONSHIPS
spend time with family today,RELATIONSHIPS
spend time with family this evening,RELATIONSHIPS
spend time with family before work,RELATIONSHIPS
spend time with family after lunch,RELATIONSHIPS
spend time with family for 20 minutes,RELATIONSHIPS
spend time with family for one hour,RELATIONSHIPS
spend time with family this week,RELATIONSHIPS
spend time with family tomorrow,RELATIONSHIPS
spend time with family in the morning,RELATIONSHIPS
play cricket with friends,RELATIONSHIPS
play cricket with friends today,RELATIONSHIPS
play cricket with friends this evening,RELATIONSHIPS
play cricket with friends before work,RELATIONSHIPS
play cricket with friends after lunch,RELATIONSHIPS
play cricket with friends for 20 minutes,RELATIONSHIPS
play cricket with friends for one hour,RELATIONSHIPS
play cricket with friends this week,RELATIONSHIPS
play cricket with friends tomorrow,RELATIONSHIPS
play cricket with friends in the morning,RELATIONSHIPS
visit my grandparents,RELATIONSHIPS
visit my grandparents today,RELATIONSHIPS
visit my grandparents this evening,RELATIONSHIPS
visit my grandparents before work,RELATIONSHIPS
visit my grandparents after lunch,RELATIONSHIPS
visit my grandparents for 20 minutes,RELATIONSHIPS
visit my grandparents for one hour,RELATIONSHIPS
visit my grandparents this week,RELATIONSHIPS
visit my grandparents tomorrow,RELATIONSHIPS
visit my grandparents in the morning,RELATIONSHIPS
have dinner with family,RELATIONSHIPS
have dinner with family today,RELATIONSHIPS
have dinner with family this evening,RELATIONSHIPS
have dinner with family before work,RELATIONSHIPS
have dinner with family after lunch,RELATIONSHIPS
have dinner with family for 20 minutes,RELATIONSHIPS
have dinner with family for one hour,RELATIONSHIPS
have dinner with family this week,RELATIONSHIPS
have dinner with family tomorrow,RELATIONSHIPS
